year,vehicle_type,statistic,value,units
2011,Cars,Vehicle Registrations,167764,Vehicle Registrations
2011,Cars,ULE Vehicle Registrations,100,ULE Vehicle Registrations
2011,Motorcycles And Tricycles,Vehicle Registrations,4845,Vehicle Registrations
2011,Motorcycles And Tricycles,ULE Vehicle Registrations,11,ULE Vehicle Registrations
2011,Light Goods Vehicles,Vehicle Registrations,19577,Vehicle Registrations
2011,Light Goods Vehicles,ULE Vehicle Registrations,30,ULE Vehicle Registrations
2011,Heavy Goods Vehicles,Vehicle Registrations,2774,Vehicle Registrations
2011,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2011,Buses And Coaches,Vehicle Registrations,796,Vehicle Registrations
2011,Buses And Coaches,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2012,Cars,Vehicle Registrations,182525,Vehicle Registrations
2012,Cars,ULE Vehicle Registrations,153,ULE Vehicle Registrations
2012,Motorcycles And Tricycles,Vehicle Registrations,5246,Vehicle Registrations
2012,Motorcycles And Tricycles,ULE Vehicle Registrations,4,ULE Vehicle Registrations
2012,Light Goods Vehicles,Vehicle Registrations,17707,Vehicle Registrations
2012,Light Goods Vehicles,ULE Vehicle Registrations,55,ULE Vehicle Registrations
2012,Heavy Goods Vehicles,Vehicle Registrations,3168,Vehicle Registrations
2012,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2012,Buses And Coaches,Vehicle Registrations,822,Vehicle Registrations
2012,Buses And Coaches,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2013,Cars,Vehicle Registrations,205216,Vehicle Registrations
2013,Cars,ULE Vehicle Registrations,196,ULE Vehicle Registrations
2013,Motorcycles And Tricycles,Vehicle Registrations,5349,Vehicle Registrations
2013,Motorcycles And Tricycles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2013,Light Goods Vehicles,Vehicle Registrations,20151,Vehicle Registrations
2013,Light Goods Vehicles,ULE Vehicle Registrations,12,ULE Vehicle Registrations
2013,Heavy Goods Vehicles,Vehicle Registrations,3821,Vehicle Registrations
2013,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2013,Buses And Coaches,Vehicle Registrations,999,Vehicle Registrations
2013,Buses And Coaches,ULE Vehicle Registrations,1,ULE Vehicle Registrations
2014,Cars,Vehicle Registrations,222414,Vehicle Registrations
2014,Cars,ULE Vehicle Registrations,838,ULE Vehicle Registrations
2014,Motorcycles And Tricycles,Vehicle Registrations,6110,Vehicle Registrations
2014,Motorcycles And Tricycles,ULE Vehicle Registrations,4,ULE Vehicle Registrations
2014,Light Goods Vehicles,Vehicle Registrations,23363,Vehicle Registrations
2014,Light Goods Vehicles,ULE Vehicle Registrations,47,ULE Vehicle Registrations
2014,Heavy Goods Vehicles,Vehicle Registrations,3209,Vehicle Registrations
2014,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2014,Buses And Coaches,Vehicle Registrations,872,Vehicle Registrations
2014,Buses And Coaches,ULE Vehicle Registrations,7,ULE Vehicle Registrations
2015,Cars,Vehicle Registrations,221807,Vehicle Registrations
2015,Cars,ULE Vehicle Registrations,1317,ULE Vehicle Registrations
2015,Motorcycles And Tricycles,Vehicle Registrations,6355,Vehicle Registrations
2015,Motorcycles And Tricycles,ULE Vehicle Registrations,5,ULE Vehicle Registrations
2015,Light Goods Vehicles,Vehicle Registrations,28307,Vehicle Registrations
2015,Light Goods Vehicles,ULE Vehicle Registrations,70,ULE Vehicle Registrations
2015,Heavy Goods Vehicles,Vehicle Registrations,3767,Vehicle Registrations
2015,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2015,Buses And Coaches,Vehicle Registrations,898,Vehicle Registrations
2015,Buses And Coaches,ULE Vehicle Registrations,6,ULE Vehicle Registrations
2016,Cars,Vehicle Registrations,222109,Vehicle Registrations
2016,Cars,ULE Vehicle Registrations,1437,ULE Vehicle Registrations
2016,Motorcycles And Tricycles,Vehicle Registrations,6946,Vehicle Registrations
2016,Motorcycles And Tricycles,ULE Vehicle Registrations,11,ULE Vehicle Registrations
2016,Light Goods Vehicles,Vehicle Registrations,29382,Vehicle Registrations
2016,Light Goods Vehicles,ULE Vehicle Registrations,70,ULE Vehicle Registrations
2016,Heavy Goods Vehicles,Vehicle Registrations,4894,Vehicle Registrations
2016,Heavy Goods Vehicles,ULE Vehicle Registrations,2,ULE Vehicle Registrations
2016,Buses And Coaches,Vehicle Registrations,877,Vehicle Registrations
2016,Buses And Coaches,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2017,Cars,Vehicle Registrations,204024,Vehicle Registrations
2017,Cars,ULE Vehicle Registrations,2437,ULE Vehicle Registrations
2017,Motorcycles And Tricycles,Vehicle Registrations,6277,Vehicle Registrations
2017,Motorcycles And Tricycles,ULE Vehicle Registrations,21,ULE Vehicle Registrations
2017,Light Goods Vehicles,Vehicle Registrations,28385,Vehicle Registrations
2017,Light Goods Vehicles,ULE Vehicle Registrations,74,ULE Vehicle Registrations
2017,Heavy Goods Vehicles,Vehicle Registrations,4240,Vehicle Registrations
2017,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2017,Buses And Coaches,Vehicle Registrations,703,Vehicle Registrations
2017,Buses And Coaches,ULE Vehicle Registrations,6,ULE Vehicle Registrations
2018,Cars,Vehicle Registrations,187510,Vehicle Registrations
2018,Cars,ULE Vehicle Registrations,3390,ULE Vehicle Registrations
2018,Motorcycles And Tricycles,Vehicle Registrations,6386,Vehicle Registrations
2018,Motorcycles And Tricycles,ULE Vehicle Registrations,29,ULE Vehicle Registrations
2018,Light Goods Vehicles,Vehicle Registrations,28126,Vehicle Registrations
2018,Light Goods Vehicles,ULE Vehicle Registrations,83,ULE Vehicle Registrations
2018,Heavy Goods Vehicles,Vehicle Registrations,4098,Vehicle Registrations
2018,Heavy Goods Vehicles,ULE Vehicle Registrations,0,ULE Vehicle Registrations
2018,Buses And Coaches,Vehicle Registrations,702,Vehicle Registrations
2018,Buses And Coaches,ULE Vehicle Registrations,1,ULE Vehicle Registrations
2019,Cars,Vehicle Registrations,177746,Vehicle Registrations
2019,Cars,ULE Vehicle Registrations,4705,ULE Vehicle Registrations
2019,Motorcycles And Tricycles,Vehicle Registrations,6546,Vehicle Registrations
2019,Motorcycles And Tricycles,ULE Vehicle Registrations,61,ULE Vehicle Registrations
2019,Light Goods Vehicles,Vehicle Registrations,25225,Vehicle Registrations
2019,Light Goods Vehicles,ULE Vehicle Registrations,203,ULE Vehicle Registrations
2019,Heavy Goods Vehicles,Vehicle Registrations,3940,Vehicle Registrations
2019,Heavy Goods Vehicles,ULE Vehicle Registrations,2,ULE Vehicle Registrations
2019,Buses And Coaches,Vehicle Registrations,711,Vehicle Registrations
2019,Buses And Coaches,ULE Vehicle Registrations,3,ULE Vehicle Registrations
